Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees
2024,Afghanistan,Afghanistan,AFG,AFG,0
2024,Albania,Afghanistan,ALB,AFG,5
2024,Egypt,Afghanistan,EGY,AFG,45
2024,Argentina,Afghanistan,ARG,AFG,28
2024,Armenia,Afghanistan,ARM,AFG,12
2024,Australia,Afghanistan,AUS,AFG,4885
2024,Austria,Afghanistan,AUT,AFG,44714
2024,Azerbaijan,Afghanistan,AZE,AFG,1080
2024,Belgium,Afghanistan,BEL,AFG,10382
2024,Benin,Afghanistan,BEN,AFG,0
2024,Bangladesh,Afghanistan,BGD,AFG,5
2024,Belarus,Afghanistan,BLR,AFG,115
2024,Brazil,Afghanistan,BRA,AFG,7170
2024,"Bosnia and Herzegovina",Afghanistan,BIH,AFG,14
2024,Bulgaria,Afghanistan,BGR,AFG,311
2024,Canada,Afghanistan,CAN,AFG,3563
2024,China,Afghanistan,CHN,AFG,27
2024,Chile,Afghanistan,CHL,AFG,218
2024,Colombia,Afghanistan,COL,AFG,7
2024,Cuba,Afghanistan,CUB,AFG,8
2024,Cyprus,Afghanistan,CYP,AFG,360
2024,Czechia,Afghanistan,CZE,AFG,262
2024,Denmark,Afghanistan,DNK,AFG,5176
2024,"Dominican Rep.",Afghanistan,DOM,AFG,0
2024,Ecuador,Afghanistan,ECU,AFG,68
2024,Estonia,Afghanistan,EST,AFG,45
2024,Ethiopia,Afghanistan,ETH,AFG,0
2024,Finland,Afghanistan,FIN,AFG,3939
2024,France,Afghanistan,FRA,AFG,93482
2024,Gambia,Afghanistan,GMB,AFG,5
2024,"United Kingdom of Great Britain and Northern Ireland",Afghanistan,GBR,AFG,54908
2024,Georgia,Afghanistan,GEO,AFG,76
2024,Germany,Afghanistan,DEU,AFG,279737
2024,Ghana,Afghanistan,GHA,AFG,27
2024,Greece,Afghanistan,GRC,AFG,24970
2024,Guinea,Afghanistan,GIN,AFG,0
2024,Guyana,Afghanistan,GUY,AFG,7
2024,"China, Hong Kong SAR",Afghanistan,HKG,AFG,13
2024,Croatia,Afghanistan,HRV,AFG,102
2024,Hungary,Afghanistan,HUN,AFG,1437
2024,Iceland,Afghanistan,ISL,AFG,356
2024,India,Afghanistan,IND,AFG,8671
2024,Indonesia,Afghanistan,IDN,AFG,4350
2024,Ireland,Afghanistan,IRL,AFG,2705
2024,"Iran (Islamic Rep. of)",Afghanistan,IRN,AFG,3477082
2024,Iraq,Afghanistan,IRQ,AFG,22
2024,Italy,Afghanistan,ITA,AFG,18451
2024,Jordan,Afghanistan,JOR,AFG,10
2024,Japan,Afghanistan,JPN,AFG,873
2024,Kazakhstan,Afghanistan,KAZ,AFG,202
2024,Kenya,Afghanistan,KEN,AFG,87
2024,Kyrgyzstan,Afghanistan,KGZ,AFG,183
2024,"Rep. of Korea",Afghanistan,KOR,AFG,79
2024,Kuwait,Afghanistan,KWT,AFG,0
2024,Libya,Afghanistan,LBY,AFG,0
2024,Lebanon,Afghanistan,LBN,AFG,33
2024,"Sri Lanka",Afghanistan,LKA,AFG,27
2024,Lithuania,Afghanistan,LTU,AFG,278
2024,Luxembourg,Afghanistan,LUX,AFG,562
2024,Latvia,Afghanistan,LVA,AFG,306
2024,"North Macedonia",Afghanistan,MKD,AFG,0
2024,"Rep. of Moldova",Afghanistan,MDA,AFG,17
2024,Mexico,Afghanistan,MEX,AFG,12
2024,Malaysia,Afghanistan,MYS,AFG,1193
2024,Mongolia,Afghanistan,MNG,AFG,6
2024,Morocco,Afghanistan,MAR,AFG,13
2024,Nepal,Afghanistan,NPL,AFG,34
2024,"Netherlands (Kingdom of the)",Afghanistan,NLD,AFG,8714
2024,Nigeria,Afghanistan,NGA,AFG,5
2024,Norway,Afghanistan,NOR,AFG,4136
2024,"New Zealand",Afghanistan,NZL,AFG,104
2024,Oman,Afghanistan,OMN,AFG,5
2024,Pakistan,Afghanistan,PAK,AFG,1559964
2024,Panama,Afghanistan,PAN,AFG,7
2024,Paraguay,Afghanistan,PRY,AFG,15
2024,Peru,Afghanistan,PER,AFG,0
2024,Philippines,Afghanistan,PHL,AFG,50
2024,"Papua New Guinea",Afghanistan,PNG,AFG,6
2024,Poland,Afghanistan,POL,AFG,893
2024,Portugal,Afghanistan,PRT,AFG,916
2024,Romania,Afghanistan,ROU,AFG,300
2024,"South Africa",Afghanistan,ZAF,AFG,5
2024,"Russian Federation",Afghanistan,RUS,AFG,996
2024,Rwanda,Afghanistan,RWA,AFG,61
2024,Senegal,Afghanistan,SEN,AFG,0
2024,Spain,Afghanistan,ESP,AFG,4575
2024,"Serbia and Kosovo: S/RES/1244 (1999)",Afghanistan,SRB,AFG,101
2024,"South Sudan",Afghanistan,SSD,AFG,5
2024,Sudan,Afghanistan,SDN,AFG,0
2024,Suriname,Afghanistan,SUR,AFG,0
2024,Slovakia,Afghanistan,SVK,AFG,423
2024,Slovenia,Afghanistan,SVN,AFG,114
2024,Eswatini,Afghanistan,SWZ,AFG,0
2024,Sweden,Afghanistan,SWE,AFG,25499
2024,Switzerland,Afghanistan,CHE,AFG,22327
2024,"Syrian Arab Rep.",Afghanistan,SYR,AFG,1228
